REGION,TIMESLICE,FUEL,YEAR,VALUE
"Region1","S1D1B1","COM_ELC",2018,12.327
"Region1","S1D1B1","COM_ELC",2019,13.3575
"Region1","S1D1B1","COM_ELC",2020,14.4745
"Region1","S1D1B1","COM_ELC",2021,15.685
"Region1","S1D1B1","COM_ELC",2022,16.9965
"Region1","S1D1B1","COM_ELC",2023,18.418
"Region1","S1D1B1","COM_ELC",2024,19.958
"Region1","S1D1B1","COM_ELC",2025,21.6275
"Region1","S1D1B1","COM_ELC",2026,23.436
"Region1","S1D1B1","COM_ELC",2027,25.3955
"Region1","S1D1B1","COM_ELC",2028,27.5195
"Region1","S1D1B1","COM_ELC",2029,29.8205
"Region1","S1D1B1","COM_ELC",2030,32.3145
"Region1","S1D1B1","COM_ELC",2031,35.0165
"Region1","S1D1B1","COM_ELC",2032,37.945
"Region1","S1D1B1","COM_ELC",2033,41.118
"Region1","S1D1B1","COM_ELC",2034,44.5565
"Region1","S1D1B1","COM_ELC",2035,48.2825
"Region1","S1D1B1","RES_ELC_APP",2018,15.9901
"Region1","S1D1B1","RES_ELC_APP",2019,17.6351
"Region1","S1D1B1","RES_ELC_APP",2020,19.4495
"Region1","S1D1B1","RES_ELC_APP",2021,21.4508
"Region1","S1D1B1","RES_ELC_APP",2022,23.6572
"Region1","S1D1B1","RES_ELC_APP",2023,26.0911
"Region1","S1D1B1","RES_ELC_APP",2024,28.7749
"Region1","S1D1B1","RES_ELC_APP",2025,31.7352
"Region1","S1D1B1","RES_ELC_APP",2026,35
"Region1","S1D1B1","RES_ELC_APP",2027,38.6008
"Region1","S1D1B1","RES_ELC_APP",2028,42.5719
"Region1","S1D1B1","RES_ELC_APP",2029,46.9518
"Region1","S1D1B1","RES_ELC_APP",2030,51.7818
"Region1","S1D1B1","RES_ELC_APP",2031,57.1088
"Region1","S1D1B1","RES_ELC_APP",2032,62.9839
"Region1","S1D1B1","RES_ELC_APP",2033,69.4638
"Region1","S1D1B1","RES_ELC_APP",2034,76.6101
"Region1","S1D1B1","RES_ELC_APP",2035,84.4914
"Region1","S1D1B2","COM_ELC",2018,49.308
"Region1","S1D1B2","COM_ELC",2019,53.43
"Region1","S1D1B2","COM_ELC",2020,57.898
"Region1","S1D1B2","COM_ELC",2021,62.74
"Region1","S1D1B2","COM_ELC",2022,67.986
"Region1","S1D1B2","COM_ELC",2023,73.672
"Region1","S1D1B2","COM_ELC",2024,79.832
"Region1","S1D1B2","COM_ELC",2025,86.51
"Region1","S1D1B2","COM_ELC",2026,93.744
"Region1","S1D1B2","COM_ELC",2027,101.582
"Region1","S1D1B2","COM_ELC",2028,110.078
"Region1","S1D1B2","COM_ELC",2029,119.282
"Region1","S1D1B2","COM_ELC",2030,129.258
"Region1","S1D1B2","COM_ELC",2031,140.066
"Region1","S1D1B2","COM_ELC",2032,151.78
"Region1","S1D1B2","COM_ELC",2033,164.472
"Region1","S1D1B2","COM_ELC",2034,178.226
"Region1","S1D1B2","COM_ELC",2035,193.13
"Region1","S1D1B2","RES_ELC_APP",2018,41.1174
"Region1","S1D1B2","RES_ELC_APP",2019,45.3474
"Region1","S1D1B2","RES_ELC_APP",2020,50.013
"Region1","S1D1B2","RES_ELC_APP",2021,55.1592
"Region1","S1D1B2","RES_ELC_APP",2022,60.8328
"Region1","S1D1B2","RES_ELC_APP",2023,67.0914
"Region1","S1D1B2","RES_ELC_APP",2024,73.9926
"Region1","S1D1B2","RES_ELC_APP",2025,81.6048
"Region1","S1D1B2","RES_ELC_APP",2026,90
"Region1","S1D1B2","RES_ELC_APP",2027,99.2592
"Region1","S1D1B2","RES_ELC_APP",2028,109.4706
"Region1","S1D1B2","RES_ELC_APP",2029,120.7332
"Region1","S1D1B2","RES_ELC_APP",2030,133.1532
"Region1","S1D1B2","RES_ELC_APP",2031,146.8512
"Region1","S1D1B2","RES_ELC_APP",2032,161.9586
"Region1","S1D1B2","RES_ELC_APP",2033,178.6212
"Region1","S1D1B2","RES_ELC_APP",2034,196.9974
"Region1","S1D1B2","RES_ELC_APP",2035,217.2636
"Region1","S1D1B3","COM_ELC",2018,61.635
"Region1","S1D1B3","COM_ELC",2019,66.7875
"Region1","S1D1B3","COM_ELC",2020,72.3725
"Region1","S1D1B3","COM_ELC",2021,78.425
"Region1","S1D1B3","COM_ELC",2022,84.9825
"Region1","S1D1B3","COM_ELC",2023,92.09
"Region1","S1D1B3","COM_ELC",2024,99.79
"Region1","S1D1B3","COM_ELC",2025,108.1375
"Region1","S1D1B3","COM_ELC",2026,117.18
"Region1","S1D1B3","COM_ELC",2027,126.9775
"Region1","S1D1B3","COM_ELC",2028,137.5975
"Region1","S1D1B3","COM_ELC",2029,149.1025
"Region1","S1D1B3","COM_ELC",2030,161.5725
"Region1","S1D1B3","COM_ELC",2031,175.0825
"Region1","S1D1B3","COM_ELC",2032,189.725
"Region1","S1D1B3","COM_ELC",2033,205.59
"Region1","S1D1B3","COM_ELC",2034,222.7825
"Region1","S1D1B3","COM_ELC",2035,241.4125
"Region1","S1D1B3","RES_ELC_APP",2018,57.1075
"Region1","S1D1B3","RES_ELC_APP",2019,62.9825
"Region1","S1D1B3","RES_ELC_APP",2020,69.4625
"Region1","S1D1B3","RES_ELC_APP",2021,76.61
"Region1","S1D1B3","RES_ELC_APP",2022,84.49
"Region1","S1D1B3","RES_ELC_APP",2023,93.1825
"Region1","S1D1B3","RES_ELC_APP",2024,102.7675
"Region1","S1D1B3","RES_ELC_APP",2025,113.34
"Region1","S1D1B3","RES_ELC_APP",2026,125
"Region1","S1D1B3","RES_ELC_APP",2027,137.86
"Region1","S1D1B3","RES_ELC_APP",2028,152.0425
"Region1","S1D1B3","RES_ELC_APP",2029,167.685
"Region1","S1D1B3","RES_ELC_APP",2030,184.935
"Region1","S1D1B3","RES_ELC_APP",2031,203.96
"Region1","S1D1B3","RES_ELC_APP",2032,224.9425
"Region1","S1D1B3","RES_ELC_APP",2033,248.085
"Region1","S1D1B3","RES_ELC_APP",2034,273.6075
"Region1","S1D1B3","RES_ELC_APP",2035,301.755
"Region1","S2D1B1","COM_ELC",2018,12.327
"Region1","S2D1B1","COM_ELC",2019,13.3575
"Region1","S2D1B1","COM_ELC",2020,14.4745
"Region1","S2D1B1","COM_ELC",2021,15.685
"Region1","S2D1B1","COM_ELC",2022,16.9965
"Region1","S2D1B1","COM_ELC",2023,18.418
"Region1","S2D1B1","COM_ELC",2024,19.958
"Region1","S2D1B1","COM_ELC",2025,21.6275
"Region1","S2D1B1","COM_ELC",2026,23.436
"Region1","S2D1B1","COM_ELC",2027,25.3955
"Region1","S2D1B1","COM_ELC",2028,27.5195
"Region1","S2D1B1","COM_ELC",2029,29.8205
"Region1","S2D1B1","COM_ELC",2030,32.3145
"Region1","S2D1B1","COM_ELC",2031,35.0165
"Region1","S2D1B1","COM_ELC",2032,37.945
"Region1","S2D1B1","COM_ELC",2033,41.118
"Region1","S2D1B1","COM_ELC",2034,44.5565
"Region1","S2D1B1","COM_ELC",2035,48.2825
"Region1","S2D1B1","RES_ELC_APP",2018,15.9901
"Region1","S2D1B1","RES_ELC_APP",2019,17.6351
"Region1","S2D1B1","RES_ELC_APP",2020,19.4495
"Region1","S2D1B1","RES_ELC_APP",2021,21.4508
"Region1","S2D1B1","RES_ELC_APP",2022,23.6572
"Region1","S2D1B1","RES_ELC_APP",2023,26.0911
"Region1","S2D1B1","RES_ELC_APP",2024,28.7749
"Region1","S2D1B1","RES_ELC_APP",2025,31.7352
"Region1","S2D1B1","RES_ELC_APP",2026,35
"Region1","S2D1B1","RES_ELC_APP",2027,38.6008
"Region1","S2D1B1","RES_ELC_APP",2028,42.5719
"Region1","S2D1B1","RES_ELC_APP",2029,46.9518
"Region1","S2D1B1","RES_ELC_APP",2030,51.7818
"Region1","S2D1B1","RES_ELC_APP",2031,57.1088
"Region1","S2D1B1","RES_ELC_APP",2032,62.9839
"Region1","S2D1B1","RES_ELC_APP",2033,69.4638
"Region1","S2D1B1","RES_ELC_APP",2034,76.6101
"Region1","S2D1B1","RES_ELC_APP",2035,84.4914
"Region1","S2D1B2","COM_ELC",2018,49.308
"Region1","S2D1B2","COM_ELC",2019,53.43
"Region1","S2D1B2","COM_ELC",2020,57.898
"Region1","S2D1B2","COM_ELC",2021,62.74
"Region1","S2D1B2","COM_ELC",2022,67.986
"Region1","S2D1B2","COM_ELC",2023,73.672
"Region1","S2D1B2","COM_ELC",2024,79.832
"Region1","S2D1B2","COM_ELC",2025,86.51
"Region1","S2D1B2","COM_ELC",2026,93.744
"Region1","S2D1B2","COM_ELC",2027,101.582
"Region1","S2D1B2","COM_ELC",2028,110.078
"Region1","S2D1B2","COM_ELC",2029,119.282
"Region1","S2D1B2","COM_ELC",2030,129.258
"Region1","S2D1B2","COM_ELC",2031,140.066
"Region1","S2D1B2","COM_ELC",2032,151.78
"Region1","S2D1B2","COM_ELC",2033,164.472
"Region1","S2D1B2","COM_ELC",2034,178.226
"Region1","S2D1B2","COM_ELC",2035,193.13
"Region1","S2D1B2","RES_ELC_APP",2018,41.1174
"Region1","S2D1B2","RES_ELC_APP",2019,45.3474
"Region1","S2D1B2","RES_ELC_APP",2020,50.013
"Region1","S2D1B2","RES_ELC_APP",2021,55.1592
"Region1","S2D1B2","RES_ELC_APP",2022,60.8328
"Region1","S2D1B2","RES_ELC_APP",2023,67.0914
"Region1","S2D1B2","RES_ELC_APP",2024,73.9926
"Region1","S2D1B2","RES_ELC_APP",2025,81.6048
"Region1","S2D1B2","RES_ELC_APP",2026,90
"Region1","S2D1B2","RES_ELC_APP",2027,99.2592
"Region1","S2D1B2","RES_ELC_APP",2028,109.4706
"Region1","S2D1B2","RES_ELC_APP",2029,120.7332
"Region1","S2D1B2","RES_ELC_APP",2030,133.1532
"Region1","S2D1B2","RES_ELC_APP",2031,146.8512
"Region1","S2D1B2","RES_ELC_APP",2032,161.9586
"Region1","S2D1B2","RES_ELC_APP",2033,178.6212
"Region1","S2D1B2","RES_ELC_APP",2034,196.9974
"Region1","S2D1B2","RES_ELC_APP",2035,217.2636
"Region1","S2D1B3","COM_ELC",2018,61.635
"Region1","S2D1B3","COM_ELC",2019,66.7875
"Region1","S2D1B3","COM_ELC",2020,72.3725
"Region1","S2D1B3","COM_ELC",2021,78.425
"Region1","S2D1B3","COM_ELC",2022,84.9825
"Region1","S2D1B3","COM_ELC",2023,92.09
"Region1","S2D1B3","COM_ELC",2024,99.79
"Region1","S2D1B3","COM_ELC",2025,108.1375
"Region1","S2D1B3","COM_ELC",2026,117.18
"Region1","S2D1B3","COM_ELC",2027,126.9775
"Region1","S2D1B3","COM_ELC",2028,137.5975
"Region1","S2D1B3","COM_ELC",2029,149.1025
"Region1","S2D1B3","COM_ELC",2030,161.5725
"Region1","S2D1B3","COM_ELC",2031,175.0825
"Region1","S2D1B3","COM_ELC",2032,189.725
"Region1","S2D1B3","COM_ELC",2033,205.59
"Region1","S2D1B3","COM_ELC",2034,222.7825
"Region1","S2D1B3","COM_ELC",2035,241.4125
"Region1","S2D1B3","RES_ELC_APP",2018,57.1075
"Region1","S2D1B3","RES_ELC_APP",2019,62.9825
"Region1","S2D1B3","RES_ELC_APP",2020,69.4625
"Region1","S2D1B3","RES_ELC_APP",2021,76.61
"Region1","S2D1B3","RES_ELC_APP",2022,84.49
"Region1","S2D1B3","RES_ELC_APP",2023,93.1825
"Region1","S2D1B3","RES_ELC_APP",2024,102.7675
"Region1","S2D1B3","RES_ELC_APP",2025,113.34
"Region1","S2D1B3","RES_ELC_APP",2026,125
"Region1","S2D1B3","RES_ELC_APP",2027,137.86
"Region1","S2D1B3","RES_ELC_APP",2028,152.0425
"Region1","S2D1B3","RES_ELC_APP",2029,167.685
"Region1","S2D1B3","RES_ELC_APP",2030,184.935
"Region1","S2D1B3","RES_ELC_APP",2031,203.96
"Region1","S2D1B3","RES_ELC_APP",2032,224.9425
"Region1","S2D1B3","RES_ELC_APP",2033,248.085
"Region1","S2D1B3","RES_ELC_APP",2034,273.6075
"Region1","S2D1B3","RES_ELC_APP",2035,301.755
