REGION,TECHNOLOGY,VALUE
"Region1","BIO_RESPRD",11361.0371238761
"Region1","BIO_RESPRD2",2616.78002527869
"Region1","BIODSL_PROD_001",5907.97562344053
"Region1","BIOETH_PROD_001",1465.16238817396
"Region1","COM_CWH_BIO_001",3126.198916554
"Region1","COM_CWH_DSL_001",271.605295115
"Region1","COM_CWH_KER_001",19.29700143
"Region1","COM_CWH_LPG_001",71.205935276
"Region1","COM_CWH_NGS_001",79.117705865
"Region1","COM_EL_APP_001",9564.97
"Region1","IMP_DSL",22687.5418124425
"Region1","IMP_GSL",9225.66832169183
"Region1","IMP_KER",3701.07427261191
"Region1","IMP_LPG",2130.047519012
"Region1","IMP_OIL",1081.57278336921
"Region1","IND_BIO_AUTOPRD",2489.864132969
"Region1","IND_CHEM_BIO_001",813.903358288853
"Region1","IND_CHEM_COA_001",8491.54433069214
"Region1","IND_CHEM_DSL_001",361.636904459
"Region1","IND_CHEM_ELC_001",1593.47548246
"Region1","IND_CHEM_NGS_001",6444.7230623
"Region1","IND_CMNT_COA_001",12204.152081769
"Region1","IND_CMNT_DSL_001",80.180067951
"Region1","IND_CMNT_ELC_001",480.92126388
"Region1","IND_CMNT_NGS_001",3265.4553817
"Region1","IND_FOOD_BIO_001",1539.29721321483
"Region1","IND_FOOD_COA_001",9503.90898299217
"Region1","IND_FOOD_DSL_001",563.040841983
"Region1","IND_FOOD_ELC_001",1133.97626156
"Region1","IND_FOOD_NGS_001",1434.47997085
"Region1","IND_OTH_BIO",4979.728265938
"Region1","IND_OTH_COA_001",7490.078428509
"Region1","IND_OTH_DSL_001",751.693575198
"Region1","IND_OTH_ELC_001",3284.9754624
"Region1","IND_OTH_LPG_001",13.473223155
"Region1","IND_OTH_NGS_001",8498.9045283
"Region1","IND_TEXT_COA_001",8654.059267659
"Region1","IND_TEXT_DSL_001",214.412446701
"Region1","IND_TEXT_ELC_001",2236.83741652
"Region1","IND_TEXT_NGS_001",667.51937638
"Region1","MIN_BIO",56635.5459742714
"Region1","MIN_COA",115274.073655657
"Region1","MIN_GEO",22635.2152357078
"Region1","MIN_HYD",1768.0965922889
"Region1","MIN_LIG",4637.22004051116
"Region1","MIN_NGS",35428.7420628875
"Region1","MIN_OIL",77.8662556084181
"Region1","MIN_SOL",2751.5263138488
"Region1","MIN_WND",2363.5243208903
"Region1","NGS_DISTRIB",4425.75712921645
"Region1","NGS_PIPELINE",35428.7420628875
"Region1","OTH_ALL_BIO_001",1050.88520595713
"Region1","OTH_ALL_EL_001",272.059659381579
"Region1","OTH_ALL_OILPRD_001",1159.43903897763
"Region1","PWR_BIO_001",742.090293498207
"Region1","PWR_COA_001",9917.88829093085
"Region1","PWR_COA_002",16335.7685052587
"Region1","PWR_COA_003",1763.20153631603
"Region1","PWR_GEO_001",3393.58549260987
"Region1","PWR_HYD_001",1683.90151646562
"Region1","PWR_NGS_001",5464.65005472061
"Region1","PWR_NGS_002",40.4245772503161
"Region1","PWR_OILPRD_001",132
"Region1","PWR_SOL_003",1499.48228214
"Region1","PWR_SOL_E001",1236.68314948512
"Region1","PWR_TRN_001",43073.7177374256
"Region1","PWR_WND_E001",2363.5243208903
"Region1","RES_CWH_BIO_001",11341.715889497
"Region1","RES_CWH_EL_001",5945.25264286201
"Region1","RES_CWH_KER_001",127.899856577
"Region1","RES_CWH_LPG_001",1123.82876955
"Region1","RES_CWH_NGS_001",79.6955587289894
"Region1","RES_EL_APP_001",10719.26
"Region1","TRA_BUS",46887974.67257
"Region1","TRA_BUS_BIODSL_001",34471967.1774195
"Region1","TRA_BUS_DSL_001",944973.4994
"Region1","TRA_BUS_ELC_001",11471033.9957506
"Region1","TRA_CAR",9639698.6482
"Region1","TRA_CAR_BIODSL_001",2530880.14523298
"Region1","TRA_CAR_BIOGSL_001",3272170.71224793
"Region1","TRA_CAR_DSL_001",2663.7336
"Region1","TRA_CAR_ELC_001",1533965.33852309
"Region1","TRA_CAR_GSL_001",506097.88862
"Region1","TRA_CAR_HYB_001",341190.67752
"Region1","TRA_CAR_NGS_001",1452730.152456
"Region1","TRA_MCY",21729679.7424
"Region1","TRA_MCY_001",1074885.66466524
"Region1","TRA_MCY_BIOGSL_001",12884126.7697518
"Region1","TRA_MCY_EL_001",7770667.30798298
"Region1","TRA_PLANE_FREIGHT_001",21731.2787532638
"Region1","TRA_PLANE_FREIGHT_BIO_001",16982.2613667362
"Region1","TRA_PLANE_PSNG_001",1938078.14489626
"Region1","TRA_PLANE_PSNG_BIO_001",2019280.66830374
"Region1","TRA_RLW_FREIGHT_BIODSL_001",196924.838266518
"Region1","TRA_RLW_FREIGHT_DSL_001",681422.970131481
"Region1","TRA_RLW_PSNG_DSL_001",97998.347271
"Region1","TRA_RLW_PSNG_ELC_001",1354126.504559
"Region1","TRA_SHIP_FREIGHT_001",14102456.4012646
"Region1","TRA_SHIP_FREIGHT_BIO_001",11060471.0484354
"Region1","TRA_SHIP_PSNG_001",651416.801301003
"Region1","TRA_SHIP_PSNG_BIO_001",458125.264708996
"Region1","TRA_TRAIN_FREIGHT",878347.808397999
"Region1","TRA_TRAIN_PSNG",1452124.85183
"Region1","TRA_TRUCK",15725904.994
"Region1","TRA_TRUCK_DSL_001",9144890.3688
"Region1","TRA_TRUCK_NGS_001",6581014.6252
